ID,ACCOUNTID,DATE,QUERY,TEXT,LABEL
"1","AipcNorth","#COVID19",2020-08-31 19:34:48.0,"RT kirtisd sonaliranade GDP COVID19modihaitohmumkinhaiAmidst first GDP contraction in 4 decades  highest single day rise in coro", "0"
"2","Ry_Bass","#COVID19",2020-08-31 19:34:48.0,"RT LizCrawfordWTSP BREAKING HillsboroughSch reporting 145 COVID19 confirmed cases BackToSchool", "0"
"3","MammalianHybrid","#COVID19",2020-08-31 19:34:48.0,"RT cadiulus I have Type 1 diabetes I am healthy enough to run ultramarathons If I get attacked by a bear  the ICU has trouble managi", "0"
"4","macabremortica","#COVID19",2020-08-31 19:34:48.0,"RT ElizabethEThorp 15 minutes into the first day of virtual school and theres already technical difficulties stress and confusion Time", "0"
"5","icestormfr","#COVID19",2020-08-31 19:34:48.0,"RT kakape No country can just pretend the pandemic is over says drtedros at WHO presser on COVID19 The reality is that this coron", "0"
"6","THSTIFaridabad","#COVID19",2020-08-31 19:34:47.0,"RT gavi Developing a vaccine against COVID19 is the most pressing challenge of our time  and nobody wins the race until everyone wins", "0"
"7","ScienceInsider","#COVID19",2020-08-31 19:34:47.0,"RT HelenBranswell Such a service kakape does live tweeting WHOs now twice weekly Covid19 press conferences Thanks Kai", "0"
"8","Michael_Rafha","#COVID19",2020-08-31 19:34:46.0,"RT OphthTimes NEW Study shows cough droplets spread 16 feet from COVID19 patient ", "0"
"9","FirstCallITMT","#COVID19",2020-08-31 19:34:46.0,"Collaboration is becoming increasingly important in workplace culture but COVID19 can make collaboration more of a challenge MicrosoftTeams can help This eBook explains how ", "0"
"10","HIVPlusMag","#COVID19",2020-08-31 19:34:46.0,"The analogy I used is not a good or fair one Schlissel said in his apology HIV COVID19 ", "0"
"11","DrJamesDeMeo","#COVID19",2020-08-31 19:34:45.0,"Lockdowns 10X more deadly than Covid19 America has experienced a crippling  perilous situation where financial and social stability have been fraudulently threatened  realDonaldTrump VP lockdown COVID19 COVIDIDIOTS CDC WHO MaskUp Masks", "0"
"12","dianesbaker1","#COVID19",2020-08-31 19:34:45.0,"RT NewYorkStateAG Im leading a coalition of 57 elected officials to urge NYCMayor to protect homeowners and delay the citys annual tax", "0"
"13","mamamayhemonu","#COVID19",2020-08-31 19:34:45.0,"LyndaPole How do you lease a property trash it then blame the state of that property on the future tenant Ask tRump This is what he did to AMERICA COVID19 TrumpVirusDeathToll185K Trumpriots", "0"
"14","Honeybadger1206","#COVID19",2020-08-31 19:34:45.0,"RT HopkinsMedicine Ahmad Ayyad 40 was healthy and fit before COVID19 almost killed him Hes now regaining his strength after a harrow", "0"
"15","JonaPCruz","#COVID19",2020-08-31 19:34:45.0,"RT BorderlandBeat Mexico has the worlds highest covid mortality rate at 108  US one of the lowest  31  means  who perish af", "0"
"16","HaryMcormack198","#COVID19",2020-08-31 19:34:44.0,"RT libdemdaisy Yesterday timesradio asked me what I thought about the Chancellors rumoured tax  spend ideas My answer still no bold i", "0"
"17","twindy5","#COVID19",2020-08-31 19:34:43.0,"RT DrEricDing 5 Another 21 Swedish experts denounced herd policy The strategy has led to death grief  sufferingno indications th", "0"
"18","montoab","#COVID19",2020-08-31 19:34:42.0,"Indias GDP has fallen 239 is less than my percentage in 10th to 12th Hope it recovers in the next quarterGDPData GDPGrowth COVID19 sucks ", "0"
"19","NJ_BAC","#COVID19",2020-08-31 19:34:41.0,"RT GovMurphy Sadly we must report 8 new confirmed COVID19 deaths for a total of 14165 lives lostWere reporting 1 death from Augus", "0"
"20","ThingsYouNeed2K","#COVID19",2020-08-31 19:34:41.0,"RT VirginMediaNews Widespread community transmission in Kildare has been avoided  but the picture nationally is not as good as it was", "0"
"21","JohnAWilcox","#COVID19",2020-08-31 19:34:41.0,"RT nokidhungry Kids dont need to be hungry If they continue to face hunger at this scale during COVID19 its because Congress chose n", "0"
"22","RobertEnslin","#COVID19",2020-08-31 19:34:41.0,"RT GrannisWill To our users helping combat COVID19 through data with BigQuery we salute you To help weve expanded our datasets and", "0"
"23","fionnulamac","#COVID19",2020-08-31 19:34:40.0,"RT rtenews Were seeing far too many people walking around with face coverings under their chin Were seeing many people wearing them", "0"
"24","sohailanwer61","#COVID19",2020-08-31 19:34:40.0,"RT ashoswai Indias COVID19 cases increasing and economy has gone to dogs China sees it as the right time to push Modi more at the LAC", "0"
"25","ConstantRebel55","#COVID19",2020-08-31 19:34:39.0,"If theres a wrong stupid incompetent andor illegal way to do something Trump will embrace it Especially if it benefits himself in some wayCovid19 ", "0"
"26","morethanmySLE","#COVID19",2020-08-31 19:34:39.0,"RT jacknielsenN7 New Trump Covid19 adviser Scott Atlas is a shill for HooverInst founded by Herbert Hoover notorious creator of the", "0"
"27","jamarian_crain","#COVID19",2020-08-31 19:34:39.0,"RT itsd2u Nurse bae Is that youuuNursesActive NurseTwitter nursingstudent COVID19 ulm22 ULMWarhawks kdson ", "0"
"28","CovidMexico","#COVID19",2020-08-31 19:34:39.0,"ACTUALIZACIN GLOBAL  Top Casos 6187328 3862311 3681073 995319 647166 625056 607938 595841  439286 411726 408426 375212 335873 315772 312996COVID19 COVID19 ", "0"
"29","Reham61640963","#COVID19",2020-08-31 19:34:38.0,"RT PalSunBird GAZA FIGHTING COVID19 And in the middle of all of this Israel is continuing to bomb the besieged Gaza strip regardless", "0"
"30","JasperThys1","#COVID19",2020-08-31 19:34:38.0,"RT wimdeceuk Fuel not bombs vivasaludbe supports the protest action in solidarity with Gaza  While COVID19 is now also threatening", "0"
"31","Yash_999999","#COVID19",2020-08-31 19:34:38.0,"RT PawanismNetwork Required plasma donor urgently very emergencyPatient name A Ananda RaoAge 63yearsBlood group O negativeCompa", "0"
"32","HannahMacMill13","#COVID19",2020-08-31 19:34:38.0,"RT rcvtac The new COVID19 drivethru testing schedule is now available below and at  Please remember to preregi", "0"
"33","NeilDidIt","#COVID19",2020-08-31 19:34:37.0,"Except for really late term senior ones Theyre fine with those COVID19 BidenHarris2020 VoteLikeYourLifeDependsOnIt ", "0"
"34","LisaJConsults","#COVID19",2020-08-31 19:34:37.0,"RT Oxfam Lessons on beating COVID19 can found in the eradication of polio in Africa only the second virus in history to be eradicated f", "0"
"35","Anushka0526","#COVID19",2020-08-31 19:34:37.0,"RT nidhiindiatv World Health Organisation says no country can just pretend the COVID19 pandemic is overThe reality is that this coron", "0"
"36","thecovid19illu1","#COVID19",2020-08-31 19:34:36.0,"Despite their website STILL stating that 94 of all deaths from COVID19 in the US  were not actually from COVID19 CDCDirector  CDCgov and FakeNewsMedia are adamant its all just misinformation coming from Qannon deception ", "0"
"37","social_seer","#COVID19",2020-08-31 19:34:36.0,"RT DrEricDing TERRIBLEWHs pandemic advisor is telling Trump to go w Swedish  herd immunity plow thru approach to lift restricti", "0"
"38","KevinWrightKrw","#COVID19",2020-08-31 19:34:35.0,"RT HarrisCoJudge NEW Harris County is reporting 680 new COVID19 cases and 8 fatalities in Harris County outside of the City of Housto", "0"
"39","Rosemarie910","#COVID19",2020-08-31 19:34:35.0,"RT HighWireTalk BREAKING GLOBAL PROTESTS AGAINST COVID19 RESTRICTIONS    Thousands around the world are taking to the streets in protes", "0"
"40","TweetShirtorg","#COVID19",2020-08-31 19:34:35.0,"Tripple65904021 Is COVID panic dumb  COVID19 ", "0"
"41","ThingsYouNeed2K","#COVID19",2020-08-31 19:34:35.0,"RT welfareie 225000 people will receive the COVID19 Pandemic Unemployment Payment this weekThis is a reduction of 5400 from last w", "0"
"42","TheUgly31655090","#COVID19",2020-08-31 19:34:33.0,"RT BelTel Watch Translink launches probe and apologises as footage emerges of womans packed train trip coronavirus COVID19", "0"
"43","avi_bravim_0m","#COVID19",2020-08-31 19:34:33.0,"RT prettypadmaja girishalva nsitharaman KrishnamurthyVK ABBJP AkshathaBhatTP PARVATHINP MonicaGRaju BopannaBragin FollowAkshay1", "0"
"44","so_kadi","#COVID19",2020-08-31 19:34:33.0,"RT eomaneboamah Why charge US150 for PCR at the airport when it costs below US100 Dont cash in on COVID19 ", "0"
"45","TaggartRehnn","#COVID19",2020-08-31 19:34:32.0,"Does anyone know how many shares of funeral homes TrumpCrimeSyndicate has COVID19 COVID COVID19 covidmillionaires ScottyFromMarketing HerdImmunity NurseEricYeah morethanmySLE nurselb DrEricDing PeterHotez eugenegu", "0"
"46","blissiport","#COVID19",2020-08-31 19:34:31.0,"RT NikolovScience This video from Jan 2020 posted at Faucis NIAID Flicker web page features an NIAID scientists discussing research on a", "0"
"47","MacacoSays","#COVID19",2020-08-31 19:34:31.0,"RT HelenBranswell DrTedros closes todays WHO Covid19 press conference with an eloquent argument against dismissing Covid deaths as ", "0"
"48","R_Shankar_Gowda","#COVID19",2020-08-31 19:34:31.0,"RT stpiindia Startups should continue their endeavours in acquiring new clients and strengthening their lead generation process during ", "0"
"49","kehaulyons","#COVID19",2020-08-31 19:34:30.0,"RT ajplus Chief Raoni Metuktire a prominent 90yearold Indigenous Amazon activist in Brazil tested positive for COVID19700 Indige", "0"
"50","I3tOx8rSOBJifTw","#COVID19",2020-08-31 19:34:30.0,"RT Tombx7M The Democrats called for violenceAnd they got itFoxandFriends Trump2020 MAGA KAG BidenRiots COVID19 mondaythoughts", "0"
"51","allthingsBama","#COVID19",2020-08-31 19:34:30.0,"RT anandiyermd The long walk to the covid19 ICUPeople of all ages on high flow ventilated proned dialyzing sedated unlike ever be", "0"
"52","adgjones","#COVID19",2020-08-31 19:34:30.0,"It is instructive to note that the highest outbreaks of Covid19 are not happening in the traditional tourist parishes of Jamaica but mostly in Kingston where there are very few tourists Of note 2 is that both the PM  the LOO are wearing mask in public Jamaicans must follow", "0"
"53","TTammy414","#COVID19",2020-08-31 19:34:30.0,"RT TraceyAlvino I used to be know as the PolitiDiva but my life took a turn I couldve never predicted Cuomo mandated COVID19 into re", "0"
"54","PerryRSmith","#COVID19",2020-08-31 19:34:29.0,"In an interview Monday CameronSmyth noted LA County is the only one in the continental US where you cant get a haircut indoors due to COVID19 Story in SCVSignal", "0"
"55","ARrow120","#COVID19",2020-08-31 19:34:28.0,"RT Kirstybabe100 I shall forever remember the way the government have treated pregnant women and new parents during the COVID19 pandemic", "0"
"56","rebelrat3","#COVID19",2020-08-31 19:34:28.0,"hello COVID19 ", "0"
"57","CourageousCurls","#COVID19",2020-08-31 19:34:28.0,"If youre a writer looking for something to do during quarantine definitely look into joint our team Writing for CCM is super easy and does not take up much time at all We focus on writing features on BIPOC so DM or email is in you would like to join the movement COVID19", "0"
